id,name,unit,notes
46,Solar Generation - TWh,Terawatt-hours,Annual changes and shares of total are calculated using terawatt-hours figures.
47,Wind Capacity,Megawatts,
48,Wind Consumption - EJ,Exajoules (input-equivalent),Annual changes and share of total are calculated using exajoules figures and incorporate adjustments for assumed changes in thermal efficiency.
49,Wind Generation -TWh,Terawatt-hours,Annual changes and shares of total are calculated using terawatt-hours figures.
50,Cobalt and Lithium - Prices - Cobalt,US dollars per tonne,
51,Cobalt and Lithium - Prices - Lithium Carbonate,US dollars per tonne,
52,Cobalt Production-Reserves - Production,Thousand tonnes,
53,Cobalt Production-Reserves - Reserves,Thousand tonnes,
54,Elec Gen by fuel - Oil,Terawatt-hours,
55,Elec Gen by fuel - Natural Gas,Terawatt-hours,
56,Elec Gen by fuel - Coal,Terawatt-hours,
57,Elec Gen by fuel - Nuclear energy,Terawatt-hours,
58,Elec Gen by fuel - Hydro electric,Terawatt-hours,
59,Elec Gen by fuel - Renewables,Terawatt-hours,
60,Elec Gen by fuel - Other #,Terawatt-hours,
61,Elec Gen by fuel - Total,Terawatt-hours,
62,Elec Gen from Coal,Terawatt-hours,Annual changes and share of total are calculated using terawatt-hours figures.
63,Elec Gen from Gas,Terawatt-hours,Annual changes and share of total are calculated using terawatt-hours figures.
64,Elec Gen from Oil,Terawatt-hours,Annual changes and share of total are calculated using terawatt-hours figures.
65,Elec Gen from Other,Terawatt-hours,Annual changes and share of total are calculated using terawatt-hours figures.
66,Graphite Production-Reserves,Thousand tonnes,
67,Lithium Production-Reserves,Thousand tonnes of Lithium content,
68,Oil - Crude prices since 1861,US dollars per barrel,
69,Oil Consumption - EJ,Exajoules,"Differences between these world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data. Annual changes and shares of total are calculated using exajoules figures."
70,Primary Energy - Cons by fuel - Oil,Exajoules,
71,Primary Energy - Cons by fuel - Natural Gas,Exajoules,
72,Primary Energy - Cons by fuel - Coal,Exajoules,
73,Primary Energy - Cons by fuel - Nuclear energy,Exajoules,
74,Primary Energy - Cons by fuel - Hydro electric,Exajoules,
75,Primary Energy - Cons by fuel - Renewables,Exajoules,
76,Primary Energy - Cons by fuel - Total,Exajoules,
77,Primary Energy - Cons capita,Gigajoule per capita,
78,Rare Earth Production-Reserves,Thousand tonnes1,
79,Renewables Generation by source - Wind,Terawatt-hours,
80,Renewables Generation by source - Solar,Terawatt-hours,
81,Renewables Generation by source - Other renewables+,Terawatt-hours,
82,Renewables Generation by source - Total,Terawatt-hours,
83,Biofuels Consumption - Kboed - Total,Thousand barrels of oil equivalent per day,Annual changes and shares of total are calculated using thousand barrels a day oil equivalent figures.
84,Biofuels Consumption - Kboed - Biogasoline,Thousand barrels of oil equivalent per day,Annual changes and shares of total are calculated using thousand barrels a day oil equivalent figures.
85,Biofuels Consumption - Kboed - Biodiesel,Thousand barrels of oil equivalent per day,Annual changes and shares of total are calculated using thousand barrels a day oil equivalent figures.
86,Biofuels Consumption - PJ - Total,Petajoules,Annual changes and shares of total are calculated using petajoules.
87,Biofuels Consumption - PJ - Biogasoline,Petajoules,Annual changes and shares of total are calculated using petajoules.
88,Biofuels Consumption - PJ - Biodiesel,Petajoules,Annual changes and shares of total are calculated using petajoules.
89,Total Liquids - Consumption,Thousand barrels daily,"Differences between these world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data. Annual changes and shares of total are calculated using thousand barrels daily figures."
90,Renewables Consumption - EJ,Exajoules (input-equivalent),
